Month,Year,Division,Kinder.c,Elem.c,JHS.c,SHS.c,Kinder.h,Elem.h,JHS.h,SHS.h,Region
18-Jul,2022,Davao City,0,22,45,179,0,0,0,0,REGION XI - DAVAO REGION
18-Jul,2022,Digos City,0,0,3,3,0,0,0,0,REGION XI - DAVAO REGION
18-Jul,2022,Panabo City,0,2,4,21,0,0,0,0,REGION XI - DAVAO REGION
18-Jul,2022,Tagum City,0,0,4,15,0,0,0,0,REGION XI - DAVAO REGION
18-Jul,2022,Island Garden City of Samal,0,0,0,16,0,0,0,0,REGION XI - DAVAO REGION
18-Jul,2022,Mati City,0,1,3,7,0,0,0,0,REGION XI - DAVAO REGION
18-Jul,2022,Davao Occidental,0,0,2,25,0,0,0,0,REGION XI - DAVAO REGION
18-Jul,2022,REGION XII - SOCCSKSARGEN,NA,NA,NA,NA,NA,NA,NA,NA,REGION XII - SOCCSKSARGEN
18-Jul,2022,North Cotabato,0,7,12,114,0,0,0,0,REGION XII - SOCCSKSARGEN
18-Jul,2022,Sarangani,0,0,5,62,0,0,0,0,REGION XII - SOCCSKSARGEN
18-Jul,2022,South Cotabato,0,6,9,95,0,0,0,0,REGION XII - SOCCSKSARGEN
18-Jul,2022,Sultan Kudarat,0,6,4,58,0,0,0,0,REGION XII - SOCCSKSARGEN
18-Jul,2022,General Santos City,0,1,0,49,0,0,0,0,REGION XII - SOCCSKSARGEN
18-Jul,2022,Kidapawan City,0,4,2,43,0,0,0,0,REGION XII - SOCCSKSARGEN
18-Jul,2022,Koronadal City,0,1,4,14,0,0,0,0,REGION XII - SOCCSKSARGEN
18-Jul,2022,Tacurong City,0,1,2,5,0,1,1,0,REGION XII - SOCCSKSARGEN
18-Jul,2022,REGION XIII (CARAGA),NA,NA,NA,NA,NA,NA,NA,NA,REGION XIII (CARAGA)
18-Jul,2022,Agusan del Norte,0,2,0,16,0,0,0,0,REGION XIII (CARAGA)
18-Jul,2022,Agusan del Sur,0,1,1,52,0,0,0,0,REGION XIII (CARAGA)
18-Jul,2022,Butuan City,0,2,3,21,0,0,0,0,REGION XIII (CARAGA)
18-Jul,2022,Siargao,0,1,0,8,0,0,0,0,REGION XIII (CARAGA)
18-Jul,2022,Surigao City,0,0,2,12,0,0,0,0,REGION XIII (CARAGA)
18-Jul,2022,Surigao del Norte,0,1,2,26,0,0,0,0,REGION XIII (CARAGA)
18-Jul,2022,Surigao del Sur,0,2,26,10,0,0,0,0,REGION XIII (CARAGA)
18-Jul,2022,Bislig City,0,0,1,2,0,0,0,0,REGION XIII (CARAGA)
18-Jul,2022,Dinagat Island,0,0,1,29,0,0,0,0,REGION XIII (CARAGA)
18-Jul,2022,Bayugan City,0,1,0,11,0,0,0,0,REGION XIII (CARAGA)
18-Jul,2022,Cabadbaran City,0,0,3,6,0,0,0,0,REGION XIII (CARAGA)
18-Jul,2022,Tandag City,0,0,2,16,0,0,0,0,REGION XIII (CARAGA)
18-Jul,2022,MBHTE-BARMM,NA,NA,NA,NA,NA,NA,NA,NA,MBHTE-BARMM
18-Jul,2022,Special Geographic Division,0,0,0,0,0,0,0,0,MBHTE-BARMM
18-Jul,2022,Cotabato City,0,0,0,0,0,0,0,0,MBHTE-BARMM
18-Jul,2022,Basilan,0,0,0,0,0,0,0,0,MBHTE-BARMM
18-Jul,2022,Lanao del Sur - I,0,0,0,0,0,0,0,0,MBHTE-BARMM
18-Jul,2022,Lanao del Sur - II,0,0,0,0,0,0,0,0,MBHTE-BARMM
18-Jul,2022,Maguindanao I,0,0,0,0,0,0,0,0,MBHTE-BARMM
18-Jul,2022,Sulu,0,0,0,0,0,0,0,0,MBHTE-BARMM
18-Jul,2022,Tawi-Tawi,0,0,0,0,0,0,0,0,MBHTE-BARMM
18-Jul,2022,Marawi City,0,0,0,0,0,0,0,0,MBHTE-BARMM
18-Jul,2022,Lamitan City,0,0,0,0,0,0,0,0,MBHTE-BARMM
18-Jul,2022,Maguindanao II,0,0,0,0,0,0,0,0,MBHTE-BARMM
18-Jul,2022,CAR,NA,NA,NA,NA,NA,NA,NA,NA,CAR
18-Jul,2022,Abra,0,3,3,26,0,0,0,0,CAR
18-Jul,2022,Apayao,0,0,3,14,0,0,0,0,CAR
18-Jul,2022,Benguet,0,27,36,7,0,0,0,0,CAR
18-Jul,2022,Ifugao,0,3,1,14,0,0,0,0,CAR
18-Jul,2022,Kalinga,0,2,0,8,0,0,0,0,CAR
18-Jul,2022,Mt. Province,0,3,6,2,0,0,0,0,CAR
18-Jul,2022,Baguio City,0,0,10,31,0,0,0,0,CAR
18-Jul,2022,Tabuk City,0,2,10,2,0,0,0,0,CAR
18-Jul,2022,NCR,NA,NA,NA,NA,NA,NA,NA,NA,NCR
18-Jul,2022,Manila,0,1,0,8,0,0,0,0,NCR
18-Jul,2022,Quezon City,0,7,7,55,0,0,0,0,NCR
18-Jul,2022,Pasay City,0,1,0,65,0,0,0,0,NCR
18-Jul,2022,Caloocan City,0,3,8,91,0,0,0,0,NCR
18-Jul,2022,Mandaluyong City,0,1,6,20,0,0,0,0,NCR
18-Jul,2022,Marikina City,0,0,4,22,0,0,0,0,NCR
18-Jul,2022,Makati City,0,0,0,23,0,0,0,0,NCR
18-Jul,2022,Pasig City,0,0,2,60,0,0,0,0,NCR
18-Jul,2022,Paranaque City,0,1,2,141,0,0,0,0,NCR
18-Jul,2022,Las Pinas City,0,1,3,17,0,0,0,0,NCR
18-Jul,2022,Valenzuela City,0,0,2,42,0,0,0,0,NCR
18-Jul,2022,Malabon City,0,0,2,5,0,0,0,0,NCR
18-Jul,2022,Taguig,0,6,2,26,0,0,0,0,NCR
18-Jul,2022,Muntinlupa City,0,0,1,51,0,0,0,0,NCR
18-Jul,2022,City of San Juan,0,0,1,2,0,0,0,0,NCR
18-Jul,2022,Navotas,0,0,0,11,0,0,0,0,NCR
18-Jul,2022,REGION IV-A (CALABARZON),NA,NA,NA,NA,NA,NA,NA,NA,REGION IV-A (CALABARZON)
18-Jul,2022,Cabuyao City,0,0,0,30,0,0,0,16,REGION IV-A (CALABARZON)
18-Jul,2022,General Trias City,0,3,4,65,0,0,0,0,REGION IV-A (CALABARZON)
18-Jul,2022,Batangas,0,3,15,157,0,0,0,0,REGION IV-A (CALABARZON)
18-Jul,2022,Cavite,0,6,9,148,0,0,0,0,REGION IV-A (CALABARZON)
18-Jul,2022,Laguna,0,6,10,72,0,0,0,0,REGION IV-A (CALABARZON)
18-Jul,2022,Quezon,0,4,8,167,0,0,0,0,REGION IV-A (CALABARZON)
18-Jul,2022,Rizal,0,4,9,144,0,0,0,0,REGION IV-A (CALABARZON)
18-Jul,2022,Batangas City,0,2,4,22,0,0,0,0,REGION IV-A (CALABARZON)
18-Jul,2022,Cavite City,0,0,0,13,0,0,0,0,REGION IV-A (CALABARZON)
18-Jul,2022,Lipa City,0,1,2,46,0,0,0,0,REGION IV-A (CALABARZON)
18-Jul,2022,Lucena City,0,0,3,14,0,0,0,0,REGION IV-A (CALABARZON)
18-Jul,2022,San Pablo City,0,3,8,9,0,0,0,0,REGION IV-A (CALABARZON)
18-Jul,2022,Calamba City,0,1,0,58,0,0,0,0,REGION IV-A (CALABARZON)
18-Jul,2022,Antipolo City,0,3,3,29,0,0,0,0,REGION IV-A (CALABARZON)
18-Jul,2022,Tanauan City,0,1,0,14,0,0,0,0,REGION IV-A (CALABARZON)
18-Jul,2022,Sta. Rosa City,0,0,2,13,0,0,0,0,REGION IV-A (CALABARZON)
18-Jul,2022,Dasmarinas City,0,0,1,60,0,0,0,0,REGION IV-A (CALABARZON)
18-Jul,2022,Tayabas City,0,0,1,9,0,0,0,0,REGION IV-A (CALABARZON)
18-Jul,2022,Bacoor City,0,0,3,29,0,0,0,0,REGION IV-A (CALABARZON)
18-Jul,2022,Imus City,0,5,4,19,0,0,0,0,REGION IV-A (CALABARZON)
18-Jul,2022,Binan City,0,0,2,19,0,0,0,0,REGION IV-A (CALABARZON)
18-Jul,2022,MIMAROPA REGION,NA,NA,NA,NA,NA,NA,NA,NA,MIMAROPA REGION
18-Jul,2022,Marinduque,0,3,2,0,0,0,0,0,MIMAROPA REGION
18-Jul,2022,Occidental Mindoro,0,0,2,71,0,0,0,0,MIMAROPA REGION
18-Jul,2022,Oriental Mindoro,0,10,8,34,0,0,0,0,MIMAROPA REGION
18-Jul,2022,Palawan,0,0,0,77,0,0,0,0,MIMAROPA REGION
18-Jul,2022,Romblon,0,1,0,35,0,0,0,0,MIMAROPA REGION
18-Jul,2022,Puerto Princesa City,0,2,2,36,0,0,0,0,MIMAROPA REGION
18-Jul,2022,Calapan City,0,2,0,20,0,0,0,0,MIMAROPA REGION
30-Jul,2022,REGION I - ILOCOS REGION,NA,NA,NA,NA,NA,NA,NA,NA,REGION I - ILOCOS REGION
30-Jul,2022,Ilocos Norte,0,8,1,16,0,0,0,0,REGION I - ILOCOS REGION
30-Jul,2022,Ilocos Sur,0,16,20,4,0,0,0,0,REGION I - ILOCOS REGION
30-Jul,2022,La Union,0,9,8,39,0,0,0,0,REGION I - ILOCOS REGION
30-Jul,2022,"Pangasinan I, Lingayen",0,12,11,105,0,0,0,0,REGION I - ILOCOS REGION
30-Jul,2022,"Pangasinan II, Binalonan",0,7,9,34,0,0,0,0,REGION I - ILOCOS REGION
30-Jul,2022,Dagupan City,0,0,0,10,0,0,0,0,REGION I - ILOCOS REGION
30-Jul,2022,Laoag City,0,1,1,14,0,0,0,0,REGION I - ILOCOS REGION
30-Jul,2022,San Carlos City-Region 1,0,3,5,4,0,0,0,0,REGION I - ILOCOS REGION
30-Jul,2022,Urdaneta City,0,1,1,5,0,0,0,0,REGION I - ILOCOS REGION
30-Jul,2022,Candon City,0,4,0,1,0,0,0,0,REGION I - ILOCOS REGION
30-Jul,2022,Alaminos City,0,3,1,7,0,0,0,0,REGION I - ILOCOS REGION
30-Jul,2022,Vigan City,0,0,0,18,0,0,0,18,REGION I - ILOCOS REGION
30-Jul,2022,San Fernando City-Region 1,0,1,2,14,0,1,1,0,REGION I - ILOCOS REGION
30-Jul,2022,Batac City,0,0,0,3,0,0,0,0,REGION I - ILOCOS REGION
30-Jul,2022,REGION II - CAGAYAN VALLEY,NA,NA,NA,NA,NA,NA,NA,NA,REGION II - CAGAYAN VALLEY
30-Jul,2022,Batanes,0,0,0,2,0,0,0,0,REGION II - CAGAYAN VALLEY
30-Jul,2022,Cagayan,0,17,16,44,0,0,0,0,REGION II - CAGAYAN VALLEY
30-Jul,2022,Isabela,0,19,27,58,0,0,0,0,REGION II - CAGAYAN VALLEY
30-Jul,2022,Nueva Vizcaya,0,13,7,47,0,0,0,0,REGION II - CAGAYAN VALLEY
30-Jul,2022,Quirino,0,19,6,11,0,0,0,0,REGION II - CAGAYAN VALLEY
30-Jul,2022,Tuguegarao City,0,0,10,0,0,0,0,0,REGION II - CAGAYAN VALLEY
30-Jul,2022,Cauayan City,0,1,2,14,0,0,0,0,REGION II - CAGAYAN VALLEY
30-Jul,2022,Santiago City,0,0,1,26,0,0,0,0,REGION II - CAGAYAN VALLEY
30-Jul,2022,City of Ilagan,0,1,1,8,0,0,0,0,REGION II - CAGAYAN VALLEY
30-Jul,2022,REGION III - CENTRAL LUZON,NA,NA,NA,NA,NA,NA,NA,NA,REGION III - CENTRAL LUZON
30-Jul,2022,Aurora,0,2,0,12,0,0,0,0,REGION III - CENTRAL LUZON
30-Jul,2022,Bataan,0,4,10,45,0,0,0,0,REGION III - CENTRAL LUZON
30-Jul,2022,Bulacan,0,9,16,131,0,0,0,0,REGION III - CENTRAL LUZON
30-Jul,2022,Nueva Ecija,0,12,14,103,0,0,0,0,REGION III - CENTRAL LUZON
30-Jul,2022,Pampanga,0,7,3,97,0,0,0,0,REGION III - CENTRAL LUZON
30-Jul,2022,Tarlac,0,12,11,98,0,0,0,0,REGION III - CENTRAL LUZON
30-Jul,2022,Zambales,0,4,14,46,0,0,0,0,REGION III - CENTRAL LUZON
30-Jul,2022,Angeles City,0,0,1,40,0,0,0,0,REGION III - CENTRAL LUZON
30-Jul,2022,Cabanatuan City,0,1,2,37,0,0,0,0,REGION III - CENTRAL LUZON
30-Jul,2022,Olongapo City,0,0,1,10,0,0,0,0,REGION III - CENTRAL LUZON
30-Jul,2022,San Jose del Monte City,0,0,6,50,0,0,0,0,REGION III - CENTRAL LUZON
30-Jul,2022,San Fernando City,0,3,5,47,0,0,0,0,REGION III - CENTRAL LUZON
30-Jul,2022,Gapan City,0,0,0,11,0,0,0,0,REGION III - CENTRAL LUZON
30-Jul,2022,Tarlac City,0,1,2,23,0,0,0,0,REGION III - CENTRAL LUZON
30-Jul,2022,Munoz Science City,0,0,0,6,0,0,0,0,REGION III - CENTRAL LUZON
